"","date","hits","geo","time","keyword","gprop","category"
"54",2018-04-29,68,"NO","2017-04-20 2020-04-19","watch","web",0
"55",2018-05-06,62,"NO","2017-04-20 2020-04-19","watch","web",0
"56",2018-05-13,57,"NO","2017-04-20 2020-04-19","watch","web",0
"57",2018-05-20,57,"NO","2017-04-20 2020-04-19","watch","web",0
"58",2018-05-27,59,"NO","2017-04-20 2020-04-19","watch","web",0
"59",2018-06-03,54,"NO","2017-04-20 2020-04-19","watch","web",0
"60",2018-06-10,66,"NO","2017-04-20 2020-04-19","watch","web",0
"61",2018-06-17,66,"NO","2017-04-20 2020-04-19","watch","web",0
"62",2018-06-24,61,"NO","2017-04-20 2020-04-19","watch","web",0
"63",2018-07-01,56,"NO","2017-04-20 2020-04-19","watch","web",0
"64",2018-07-08,64,"NO","2017-04-20 2020-04-19","watch","web",0
"65",2018-07-15,66,"NO","2017-04-20 2020-04-19","watch","web",0
"66",2018-07-22,63,"NO","2017-04-20 2020-04-19","watch","web",0
"67",2018-07-29,62,"NO","2017-04-20 2020-04-19","watch","web",0
"68",2018-08-05,64,"NO","2017-04-20 2020-04-19","watch","web",0
"69",2018-08-12,60,"NO","2017-04-20 2020-04-19","watch","web",0
"70",2018-08-19,64,"NO","2017-04-20 2020-04-19","watch","web",0
"71",2018-08-26,59,"NO","2017-04-20 2020-04-19","watch","web",0
"72",2018-09-02,55,"NO","2017-04-20 2020-04-19","watch","web",0
"73",2018-09-09,63,"NO","2017-04-20 2020-04-19","watch","web",0
"74",2018-09-16,63,"NO","2017-04-20 2020-04-19","watch","web",0
"75",2018-09-23,63,"NO","2017-04-20 2020-04-19","watch","web",0
"76",2018-09-30,68,"NO","2017-04-20 2020-04-19","watch","web",0
"77",2018-10-07,64,"NO","2017-04-20 2020-04-19","watch","web",0
"78",2018-10-14,59,"NO","2017-04-20 2020-04-19","watch","web",0
"79",2018-10-21,51,"NO","2017-04-20 2020-04-19","watch","web",0
"80",2018-10-28,57,"NO","2017-04-20 2020-04-19","watch","web",0
"81",2018-11-04,52,"NO","2017-04-20 2020-04-19","watch","web",0
"82",2018-11-11,52,"NO","2017-04-20 2020-04-19","watch","web",0
"83",2018-11-18,60,"NO","2017-04-20 2020-04-19","watch","web",0
"84",2018-11-25,57,"NO","2017-04-20 2020-04-19","watch","web",0
"85",2018-12-02,56,"NO","2017-04-20 2020-04-19","watch","web",0
"86",2018-12-09,62,"NO","2017-04-20 2020-04-19","watch","web",0
"87",2018-12-16,60,"NO","2017-04-20 2020-04-19","watch","web",0
"88",2018-12-23,87,"NO","2017-04-20 2020-04-19","watch","web",0
"89",2018-12-30,64,"NO","2017-04-20 2020-04-19","watch","web",0
"90",2019-01-06,63,"NO","2017-04-20 2020-04-19","watch","web",0
"91",2019-01-13,56,"NO","2017-04-20 2020-04-19","watch","web",0
"92",2019-01-20,54,"NO","2017-04-20 2020-04-19","watch","web",0
"93",2019-01-27,51,"NO","2017-04-20 2020-04-19","watch","web",0
"94",2019-02-03,50,"NO","2017-04-20 2020-04-19","watch","web",0
"95",2019-02-10,51,"NO","2017-04-20 2020-04-19","watch","web",0
"96",2019-02-17,52,"NO","2017-04-20 2020-04-19","watch","web",0
"97",2019-02-24,51,"NO","2017-04-20 2020-04-19","watch","web",0
"98",2019-03-03,45,"NO","2017-04-20 2020-04-19","watch","web",0
"99",2019-03-10,42,"NO","2017-04-20 2020-04-19","watch","web",0
"100",2019-03-17,48,"NO","2017-04-20 2020-04-19","watch","web",0
"101",2019-03-24,51,"NO","2017-04-20 2020-04-19","watch","web",0
"102",2019-03-31,53,"NO","2017-04-20 2020-04-19","watch","web",0
"103",2019-04-07,49,"NO","2017-04-20 2020-04-19","watch","web",0
"104",2019-04-14,50,"NO","2017-04-20 2020-04-19","watch","web",0
"105",2019-04-21,50,"NO","2017-04-20 2020-04-19","watch","web",0
"106",2019-04-28,48,"NO","2017-04-20 2020-04-19","watch","web",0
"107",2019-05-05,43,"NO","2017-04-20 2020-04-19","watch","web",0
"108",2019-05-12,48,"NO","2017-04-20 2020-04-19","watch","web",0
"109",2019-05-19,44,"NO","2017-04-20 2020-04-19","watch","web",0
"110",2019-05-26,47,"NO","2017-04-20 2020-04-19","watch","web",0
"111",2019-06-02,43,"NO","2017-04-20 2020-04-19","watch","web",0
"112",2019-06-09,48,"NO","2017-04-20 2020-04-19","watch","web",0
"113",2019-06-16,49,"NO","2017-04-20 2020-04-19","watch","web",0
"114",2019-06-23,50,"NO","2017-04-20 2020-04-19","watch","web",0
"115",2019-06-30,54,"NO","2017-04-20 2020-04-19","watch","web",0
"116",2019-07-07,56,"NO","2017-04-20 2020-04-19","watch","web",0
"117",2019-07-14,54,"NO","2017-04-20 2020-04-19","watch","web",0
"118",2019-07-21,53,"NO","2017-04-20 2020-04-19","watch","web",0
"119",2019-07-28,49,"NO","2017-04-20 2020-04-19","watch","web",0
"120",2019-08-04,52,"NO","2017-04-20 2020-04-19","watch","web",0
"121",2019-08-11,51,"NO","2017-04-20 2020-04-19","watch","web",0
"122",2019-08-18,48,"NO","2017-04-20 2020-04-19","watch","web",0
"123",2019-08-25,44,"NO","2017-04-20 2020-04-19","watch","web",0
"124",2019-09-01,49,"NO","2017-04-20 2020-04-19","watch","web",0
"125",2019-09-08,51,"NO","2017-04-20 2020-04-19","watch","web",0
"126",2019-09-15,51,"NO","2017-04-20 2020-04-19","watch","web",0
"127",2019-09-22,56,"NO","2017-04-20 2020-04-19","watch","web",0
"128",2019-09-29,58,"NO","2017-04-20 2020-04-19","watch","web",0
"129",2019-10-06,44,"NO","2017-04-20 2020-04-19","watch","web",0
"130",2019-10-13,45,"NO","2017-04-20 2020-04-19","watch","web",0
"131",2019-10-20,47,"NO","2017-04-20 2020-04-19","watch","web",0
"132",2019-10-27,49,"NO","2017-04-20 2020-04-19","watch","web",0
"133",2019-11-03,49,"NO","2017-04-20 2020-04-19","watch","web",0
"134",2019-11-10,48,"NO","2017-04-20 2020-04-19","watch","web",0
"135",2019-11-17,56,"NO","2017-04-20 2020-04-19","watch","web",0
"136",2019-11-24,60,"NO","2017-04-20 2020-04-19","watch","web",0
"137",2019-12-01,52,"NO","2017-04-20 2020-04-19","watch","web",0
"138",2019-12-08,51,"NO","2017-04-20 2020-04-19","watch","web",0
"139",2019-12-15,57,"NO","2017-04-20 2020-04-19","watch","web",0
"140",2019-12-22,85,"NO","2017-04-20 2020-04-19","watch","web",0
"141",2019-12-29,68,"NO","2017-04-20 2020-04-19","watch","web",0
"142",2020-01-05,47,"NO","2017-04-20 2020-04-19","watch","web",0
"143",2020-01-12,53,"NO","2017-04-20 2020-04-19","watch","web",0
"144",2020-01-19,48,"NO","2017-04-20 2020-04-19","watch","web",0
"145",2020-01-26,40,"NO","2017-04-20 2020-04-19","watch","web",0
"146",2020-02-02,46,"NO","2017-04-20 2020-04-19","watch","web",0
"147",2020-02-09,50,"NO","2017-04-20 2020-04-19","watch","web",0
"148",2020-02-16,52,"NO","2017-04-20 2020-04-19","watch","web",0
"149",2020-02-23,45,"NO","2017-04-20 2020-04-19","watch","web",0
"150",2020-03-01,44,"NO","2017-04-20 2020-04-19","watch","web",0
"151",2020-03-08,41,"NO","2017-04-20 2020-04-19","watch","web",0
"152",2020-03-15,42,"NO","2017-04-20 2020-04-19","watch","web",0
"153",2020-03-22,45,"NO","2017-04-20 2020-04-19","watch","web",0
"154",2020-03-29,43,"NO","2017-04-20 2020-04-19","watch","web",0
"155",2020-04-05,54,"NO","2017-04-20 2020-04-19","watch","web",0
"156",2020-04-12,50,"NO","2017-04-20 2020-04-19","watch","web",0
