"","date","hits","geo","time","keyword","gprop","category"
"42",2018-02-04,60,"DK","2017-04-20 2020-04-19","coat","web",0
"43",2018-02-11,54,"DK","2017-04-20 2020-04-19","coat","web",0
"44",2018-02-18,56,"DK","2017-04-20 2020-04-19","coat","web",0
"45",2018-02-25,54,"DK","2017-04-20 2020-04-19","coat","web",0
"46",2018-03-04,64,"DK","2017-04-20 2020-04-19","coat","web",0
"47",2018-03-11,41,"DK","2017-04-20 2020-04-19","coat","web",0
"48",2018-03-18,52,"DK","2017-04-20 2020-04-19","coat","web",0
"49",2018-03-25,46,"DK","2017-04-20 2020-04-19","coat","web",0
"50",2018-04-01,48,"DK","2017-04-20 2020-04-19","coat","web",0
"51",2018-04-08,62,"DK","2017-04-20 2020-04-19","coat","web",0
"52",2018-04-15,41,"DK","2017-04-20 2020-04-19","coat","web",0
"53",2018-04-22,51,"DK","2017-04-20 2020-04-19","coat","web",0
"54",2018-04-29,39,"DK","2017-04-20 2020-04-19","coat","web",0
"55",2018-05-06,26,"DK","2017-04-20 2020-04-19","coat","web",0
"56",2018-05-13,29,"DK","2017-04-20 2020-04-19","coat","web",0
"57",2018-05-20,19,"DK","2017-04-20 2020-04-19","coat","web",0
"58",2018-05-27,27,"DK","2017-04-20 2020-04-19","coat","web",0
"59",2018-06-03,30,"DK","2017-04-20 2020-04-19","coat","web",0
"60",2018-06-10,42,"DK","2017-04-20 2020-04-19","coat","web",0
"61",2018-06-17,38,"DK","2017-04-20 2020-04-19","coat","web",0
"62",2018-06-24,35,"DK","2017-04-20 2020-04-19","coat","web",0
"63",2018-07-01,26,"DK","2017-04-20 2020-04-19","coat","web",0
"64",2018-07-08,36,"DK","2017-04-20 2020-04-19","coat","web",0
"65",2018-07-15,24,"DK","2017-04-20 2020-04-19","coat","web",0
"66",2018-07-22,19,"DK","2017-04-20 2020-04-19","coat","web",0
"67",2018-07-29,33,"DK","2017-04-20 2020-04-19","coat","web",0
"68",2018-08-05,41,"DK","2017-04-20 2020-04-19","coat","web",0
"69",2018-08-12,46,"DK","2017-04-20 2020-04-19","coat","web",0
"70",2018-08-19,62,"DK","2017-04-20 2020-04-19","coat","web",0
"71",2018-08-26,59,"DK","2017-04-20 2020-04-19","coat","web",0
"72",2018-09-02,60,"DK","2017-04-20 2020-04-19","coat","web",0
"73",2018-09-09,67,"DK","2017-04-20 2020-04-19","coat","web",0
"74",2018-09-16,72,"DK","2017-04-20 2020-04-19","coat","web",0
"75",2018-09-23,65,"DK","2017-04-20 2020-04-19","coat","web",0
"76",2018-09-30,93,"DK","2017-04-20 2020-04-19","coat","web",0
"77",2018-10-07,72,"DK","2017-04-20 2020-04-19","coat","web",0
"78",2018-10-14,59,"DK","2017-04-20 2020-04-19","coat","web",0
"79",2018-10-21,76,"DK","2017-04-20 2020-04-19","coat","web",0
"80",2018-10-28,93,"DK","2017-04-20 2020-04-19","coat","web",0
"81",2018-11-04,74,"DK","2017-04-20 2020-04-19","coat","web",0
"82",2018-11-11,100,"DK","2017-04-20 2020-04-19","coat","web",0
"83",2018-11-18,84,"DK","2017-04-20 2020-04-19","coat","web",0
"84",2018-11-25,87,"DK","2017-04-20 2020-04-19","coat","web",0
"85",2018-12-02,70,"DK","2017-04-20 2020-04-19","coat","web",0
"86",2018-12-09,56,"DK","2017-04-20 2020-04-19","coat","web",0
"87",2018-12-16,61,"DK","2017-04-20 2020-04-19","coat","web",0
"88",2018-12-23,82,"DK","2017-04-20 2020-04-19","coat","web",0
"89",2018-12-30,64,"DK","2017-04-20 2020-04-19","coat","web",0
"90",2019-01-06,81,"DK","2017-04-20 2020-04-19","coat","web",0
"91",2019-01-13,71,"DK","2017-04-20 2020-04-19","coat","web",0
"92",2019-01-20,45,"DK","2017-04-20 2020-04-19","coat","web",0
"93",2019-01-27,52,"DK","2017-04-20 2020-04-19","coat","web",0
"94",2019-02-03,65,"DK","2017-04-20 2020-04-19","coat","web",0
"95",2019-02-10,58,"DK","2017-04-20 2020-04-19","coat","web",0
"96",2019-02-17,52,"DK","2017-04-20 2020-04-19","coat","web",0
"97",2019-02-24,59,"DK","2017-04-20 2020-04-19","coat","web",0
"98",2019-03-03,60,"DK","2017-04-20 2020-04-19","coat","web",0
"99",2019-03-10,56,"DK","2017-04-20 2020-04-19","coat","web",0
"100",2019-03-17,47,"DK","2017-04-20 2020-04-19","coat","web",0
"101",2019-03-24,48,"DK","2017-04-20 2020-04-19","coat","web",0
"102",2019-03-31,45,"DK","2017-04-20 2020-04-19","coat","web",0
"103",2019-04-07,37,"DK","2017-04-20 2020-04-19","coat","web",0
"104",2019-04-14,35,"DK","2017-04-20 2020-04-19","coat","web",0
"105",2019-04-21,34,"DK","2017-04-20 2020-04-19","coat","web",0
"106",2019-04-28,45,"DK","2017-04-20 2020-04-19","coat","web",0
"107",2019-05-05,50,"DK","2017-04-20 2020-04-19","coat","web",0
"108",2019-05-12,52,"DK","2017-04-20 2020-04-19","coat","web",0
"109",2019-05-19,45,"DK","2017-04-20 2020-04-19","coat","web",0
"110",2019-05-26,38,"DK","2017-04-20 2020-04-19","coat","web",0
"111",2019-06-02,27,"DK","2017-04-20 2020-04-19","coat","web",0
"112",2019-06-09,17,"DK","2017-04-20 2020-04-19","coat","web",0
"113",2019-06-16,30,"DK","2017-04-20 2020-04-19","coat","web",0
"114",2019-06-23,26,"DK","2017-04-20 2020-04-19","coat","web",0
"115",2019-06-30,36,"DK","2017-04-20 2020-04-19","coat","web",0
"116",2019-07-07,28,"DK","2017-04-20 2020-04-19","coat","web",0
"117",2019-07-14,28,"DK","2017-04-20 2020-04-19","coat","web",0
"118",2019-07-21,31,"DK","2017-04-20 2020-04-19","coat","web",0
"119",2019-07-28,41,"DK","2017-04-20 2020-04-19","coat","web",0
"120",2019-08-04,34,"DK","2017-04-20 2020-04-19","coat","web",0
"121",2019-08-11,50,"DK","2017-04-20 2020-04-19","coat","web",0
"122",2019-08-18,33,"DK","2017-04-20 2020-04-19","coat","web",0
"123",2019-08-25,36,"DK","2017-04-20 2020-04-19","coat","web",0
"124",2019-09-01,47,"DK","2017-04-20 2020-04-19","coat","web",0
"125",2019-09-08,70,"DK","2017-04-20 2020-04-19","coat","web",0
"126",2019-09-15,59,"DK","2017-04-20 2020-04-19","coat","web",0
"127",2019-09-22,70,"DK","2017-04-20 2020-04-19","coat","web",0
"128",2019-09-29,89,"DK","2017-04-20 2020-04-19","coat","web",0
"129",2019-10-06,87,"DK","2017-04-20 2020-04-19","coat","web",0
"130",2019-10-13,70,"DK","2017-04-20 2020-04-19","coat","web",0
"131",2019-10-20,73,"DK","2017-04-20 2020-04-19","coat","web",0
"132",2019-10-27,80,"DK","2017-04-20 2020-04-19","coat","web",0
"133",2019-11-03,74,"DK","2017-04-20 2020-04-19","coat","web",0
"134",2019-11-10,68,"DK","2017-04-20 2020-04-19","coat","web",0
"135",2019-11-17,63,"DK","2017-04-20 2020-04-19","coat","web",0
"136",2019-11-24,86,"DK","2017-04-20 2020-04-19","coat","web",0
"137",2019-12-01,72,"DK","2017-04-20 2020-04-19","coat","web",0
"138",2019-12-08,67,"DK","2017-04-20 2020-04-19","coat","web",0
"139",2019-12-15,72,"DK","2017-04-20 2020-04-19","coat","web",0
"140",2019-12-22,73,"DK","2017-04-20 2020-04-19","coat","web",0
"141",2019-12-29,66,"DK","2017-04-20 2020-04-19","coat","web",0
"142",2020-01-05,58,"DK","2017-04-20 2020-04-19","coat","web",0
"143",2020-01-12,44,"DK","2017-04-20 2020-04-19","coat","web",0
"144",2020-01-19,69,"DK","2017-04-20 2020-04-19","coat","web",0
"145",2020-01-26,68,"DK","2017-04-20 2020-04-19","coat","web",0
"146",2020-02-02,54,"DK","2017-04-20 2020-04-19","coat","web",0
"147",2020-02-09,53,"DK","2017-04-20 2020-04-19","coat","web",0
"148",2020-02-16,42,"DK","2017-04-20 2020-04-19","coat","web",0
"149",2020-02-23,45,"DK","2017-04-20 2020-04-19","coat","web",0
"150",2020-03-01,41,"DK","2017-04-20 2020-04-19","coat","web",0
"151",2020-03-08,44,"DK","2017-04-20 2020-04-19","coat","web",0
"152",2020-03-15,40,"DK","2017-04-20 2020-04-19","coat","web",0
"153",2020-03-22,49,"DK","2017-04-20 2020-04-19","coat","web",0
"154",2020-03-29,48,"DK","2017-04-20 2020-04-19","coat","web",0
"155",2020-04-05,59,"DK","2017-04-20 2020-04-19","coat","web",0
"156",2020-04-12,51,"DK","2017-04-20 2020-04-19","coat","web",0
